Row ID,Order Date,State,Category,Sub-Category,Product Name,Sales
1,08/11/2017,Kentucky,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96
2,08/11/2017,Kentucky,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
3,12/06/2017,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62
4,11/10/2016,Florida,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775
5,11/10/2016,Florida,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368
6,09/06/2015,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
7,09/06/2015,California,Office Supplies,Art,Newell 322,7.28
8,09/06/2015,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152
9,09/06/2015,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504
10,09/06/2015,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9
11,09/06/2015,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184
12,09/06/2015,California,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424
13,15/04/2018,North Carolina,Office Supplies,Paper,Xerox 1967,15.552
14,05/12/2017,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976
15,22/11/2016,Texas,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
16,22/11/2016,Texas,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544
17,11/11/2015,Wisconsin,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
18,13/05/2015,Utah,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5
19,27/08/2015,California,Office Supplies,Art,Newell 341,8.56
20,27/08/2015,California,Technology,Phones,Cisco SPA 501G IP Phone,213.48
21,27/08/2015,California,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72
22,09/12/2017,Nebraska,Office Supplies,Art,Newell 318,19.46
23,09/12/2017,Nebraska,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34
24,16/07/2018,Pennsylvania,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372
25,25/09/2016,Utah,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63
26,16/01/2017,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648
27,16/01/2017,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57
28,17/09/2016,Pennsylvania,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43
29,17/09/2016,Pennsylvania,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618
30,17/09/2016,Pennsylvania,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2
31,17/09/2016,Pennsylvania,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264
32,17/09/2016,Pennsylvania,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304
33,17/09/2016,Pennsylvania,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858
